Work Order Id,Std Job No,WO Completed Status,WO Create Date,Ads Building Number,Ads Eastings,Ads Northings,Ads Operation Area,Ads Osapr,Street postcode,Ads Post Town,Ads Region,Ads Water Operational Area,Ads Water Supply Zone
17598,WRNW17,All Complete                                      ,08/04/2004,13,"211,416.00","774,804.00",North West,APHTGJ8X5X1540903G,PH336NS,FORT WILLIAM,North,Camisky Wellfield WOA,Cowhill WSZ
17613,WRNW17,All Complete with Comments                        ,08/04/2004,,"345,995.00","644,362.00",South East,APJ14X8J5HJ5M5A0MT,TD12QT,GALASHIELS,South,Manse Street Galashiels WOA,Stow WSZ
17631,WRNW17,All Complete                                      ,08/04/2004,11,"341,551.00","727,292.00",North East,APXE0F875RC4DTU05J,DD68HL,NEWPORT-ON-TAY,East,LHills & GFarg & Glendevon WOA,Newport WSZ
21435,WRNW17,All Complete                                      ,09/04/2004,119,"262,575.00","660,849.00",South West,APAQD18G5JF4W6QGW3,G733PH,GLASGOW,West,Milngavie WOA,C2 Craigmaddie WSZ
21934,WRNW17,All Complete                                      ,12/04/2004,1,"336,254.00","950,204.00",North West,APQUAQ825EJ5QYE0DT,KW15NN,WICK,North,Loch Calder WOA,Toftcarl WSZ
22543,WRNW17,All Complete                                      ,14/04/2004,23,"308,722.00","605,329.00",South East,AP49GW8H5R9523E0B0,DG109AR,MOFFAT,South,Moffat WOA,Chapelhill WSZ
22694,WRNW17,All Complete                                      ,14/04/2004,,"325,635.00","676,984.00",South East,AP9163DJ5T9452U0JR,EH64LQ,EDINBURGH,South,Marchbank WOA,Marchbank Hermiston WSZ
22832,WRNW17,All Complete                                      ,14/04/2004,,"365,767.00","1,028,376.00",North West,APEB7X8D5865DBFGFV,KW172AR,ORKNEY,East,Stronsay WOA,Whitehall WSZ
22899,WRNW17,All Complete with Comments                        ,14/04/2004,,"278,925.00","679,261.00",South West,APF8J38Q5JE767X0ML,FK41HN,BONNYBRIDGE,West,Carron Valley WOA,Carron Valley to Millhall WSZ
23227,WRNW17,Cancelled with comments                           ,15/04/2004,18,"324,718.00","674,852.00",South East,APWJEB8D5Q0441T07R,EH35BW,EDINBURGH,South,Glencorse WOA,Stockbridge WSZ
